Author,givenname,givenname_reco,instance.of,Count
"Loebenberg, Abby",Abby,Abby,female given name,1
"Terçariol, Adriana Aparecida De Lima",Adriana,Adriana,female given name,1
"Błachnio, Agata",Agata,Agáta,female given name,1
"Mochocka, Aleksandra",Aleksandra,Aleksandra,female given name,1
"Kukumbergová, Alexandra",Alexandra,Alexandra,female given name,1
"Merrick, Alyssia",Alyssia,Alyssia,female given name,1
"Berube, Amelia",Amelia,Amelia,female given name,1
"Inloes, Amina",Amina,Amina,female given name,2
"Radovic, Ana",Ana,Ana,female given name,1
"Saldanha, Ana Alayde",Ana,Ana,female given name,1
"Madsen, Andrea",Andrea,Andrea,female given name,1
"Ilieva, Angelina",Angelina,Angelina,female given name,1
"Rivers, Anissa",Anissa,Anissa,female given name,1
"Grando, Anita",Anita,Anita,female given name,1
"d’Alcantara, Ann",Ann,Ann,female given name,1
"Viduani, Anna",Anna,Anna,female given name,1
"Goodall, Anne M.",Anne,Anne,female given name,1
"Sørensen, Anne Scott",Anne,Anne,female given name,1
"Thorhauge, Anne Mette",Anne,Anne,female given name,1
"Voelckel, Anne-Christine",Anne-Christine,Anne-Christine,female given name,1
"Perry, April M.",April,April,female given name,1
"Djati, Ari Prasetya",Ari,Ari,male given name,1
"Bawa, Arpit",Arpit,,male given name,1
"Roast, Asa",Asa,Åsa,female given name,1
"Adams, Aubrie S.",Aubrie,Aubrie,female given name,1
"Slaughter, Autumn",Autumn,Autumn,female given name,1
"Durmus, Ayça",Ayça,Ayça,female given name,2
"Gentile, Brittany",Brittany,Brittany,female given name,1
"Neuenschwander, Bryn",Bryn,Bryn,female given name,1
"Forsythe, Carlie",Carlie,,female given name,1
"De Lemos, Carmen",Carmen,Carmen,female given name,1
"Heeter, Carrie",Carrie,Carrie,female given name,1
"Martin, Cathlena",Cathlena,Cathlena,female given name,2
"Cristofari, Cécile",Cécile,Cécile,female given name,1
"Mariais, Christelle",Christelle,Christelle,female given name,1
"Gatsakou, Christina",Christina,Christina,female given name,2
"Cornillon, Claire",Claire,Claire,female given name,1
"Angelelli, Claudia Viviana",Claudia,Claudia,female given name,1
"Bisol, Cláudia Alquati",Cláudia,Claudia,female given name,1
"David, Coralie",Coralie,Coralie,female given name,4
"Boulay, Corentin",Corentin,Corentin,male given name,4
"André, Danièle",Danièle,Danièle,female given name,1
"da Silva, Dayane Costa Oliveira",Dayane,Dayane,female given name,1
"Portinari, Denise",Denise,Denise,female given name,1
"Nikolaidou, Dimitra",Dimitra,Dimitra,female given name,1
"Marzban, Dorna",Dorna,Dorna,female given name,1
"Johnstone, Eilidh",Eilidh,Eilidh,female given name,1
"Diakolambrianou, Elektra",Elektra,Elektra,female given name,1
"Bettocchi, Eliane",Eliane,Éliane,female given name,1
"Kilmer, Elizabeth",Elizabeth,Elizabeth,female given name,1
"Kilmer, Elizabeth D.",Elizabeth,Elizabeth,female given name,1
"Quinlan, Elly",Elly,Elly,female given name,1
"Henry, Elsa S.",Elsa,Elsa,female given name,1
"Dewi, Elvira Sari",Elvira,Elvira,female given name,1
"Nunez, Emanueli",Emanueli,,male given name,1
"French, Emma",Emma,Emma,female given name,1
"Pritchard-Rowe, Emma",Emma,Emma,female given name,1
"Kersting, Erik",Erik,,male given name,1
"Lagerstedt, Erik",Erik,,male given name,1
"Stanley, Erik",Erik,,male given name,1
"Septiana, Eva",Eva,Eva,female given name,1
"Torres-Rodriguez, Fabio Adrian",Fabio,,male given name,1
"Michaels, Faith",Faith,Faith,female given name,1
"Michau, Florence",Florence,Florence,female given name,1
"Orestano, Francesca",Francesca,Francesca,female given name,1
"Moreno, Francisca Faret",Francisca,Francisca,female given name,1
"Briao, Gabriela Felix",Gabriela,Gabriela,female given name,1
"De Seta, Gabriele",Gabriele,Gabriele,male given name,1
"Ribeiro, Geisa Muller de Campos",Geisa,Geisa,female given name,1
"Fournier, Ghislain",Ghislain,,male given name,1
"Gunderman, Hannah C.",Hannah,Hannah,female given name,1
"Shay, Heather",Heather,Heather,female given name,2
"Skovbjerg, Helle Marie",Helle,Helle,female given name,1
"Hawley, Imogen",Imogen,Imogen,female given name,1
"Schaechterle, Inez",Inez,Inez,female given name,1
"Kuznetcova, Irina",Irina,Irina,female given name,1
"Périer, Isabelle",Isabelle,Isabelle,female given name,3
"Borsus, Isabelle",Isabelle,Isabelle,female given name,1
"Miranda, Iván Pérez",Iván,Ivana,female given name,2
"Švelch, Jan",Jan,Jan,female given name,1
"Genova, Jennifer",Jennifer,Jennifer,female given name,2
"Castillo, Jennifer",Jennifer,Jennifer,female given name,1
"Rivers, Jennifer A.",Jennifer,Jennifer,female given name,1
"Rubin, Jennifer",Jennifer,Jennifer,female given name,1
"Wright, Jennifer Cole",Jennifer,Jennifer,female given name,1
"Yen, Jennifer",Jennifer,Jennifer,female given name,1
"Gibson, Jenny",Jenny,Jenny,female given name,1
"Reichert, Jenny",Jenny,Jenny,female given name,1
"Carlson, Jessica",Jessica,Jessica,female given name,1
"McCain, Jessica",Jessica,Jessica,female given name,1
"Reidenberg, Joel",Joel,,male given name,1
"Arjoranta, Jonne",Jonne,,male given name,1
"Batista, José Roniere Morais",José,José,male given name,1
"Carnicero Pérez, José David",José,José,male given name,1
"Zagal, José P.",José,José,male given name,1
"Mana, Josef",Josef,Josefa,male given name,1
"Westborg, Josefin",Josefin,Josefin,female given name,2
"Baird, Josephine",Josephine,Josephine,female given name,1
"Bond Ellingboe, Julia",Julia,Julia,female given name,1
"Rosselet, Julien G.",Julien,Julien,male given name,1
"Mullis, Justin",Justin,,male given name,1
"Nalin, Kajsa",Kajsa,Kajsa,female given name,1
"Szita, Kata",Kata,Kata,female given name,1
"Castiello Jones, Katherine",Katherine,Katherine,female given name,1
"Cross, Katherine Angel",Katherine,Katherine,female given name,1
"Gielissen, Katherine A.",Katherine,Katherine,female given name,1
"Ortolani, Katherine Nunes Pereira Oliva",Katherine,Katherine,female given name,1
"Howard, Katie",Katie,Katie,female given name,1
"Geneuss, Katrin",Katrin,Katrin,female given name,1
"McCarthy, Kayla",Kayla,Kayla,female given name,1
"Lehto, Kerttu",Kerttu,Kerttu,female given name,1
"Stauss, Kimberly A.",Kimberly,Kimberly,female given name,1
"Ishida, Kimi",Kimi,Kimi,female given name,1
"Dorożyńska, Klara",Klara,Klara,female given name,1
"Flöter, Laura",Laura,Laura,female given name,1
"Mitchell, Laura",Laura,Laura,female given name,1
"Williams, Laura Lea",Laura,Laura,female given name,1
"Liebeseller, Laya",Laya,Layan,female given name,2
"Hagitte, Leonie",Leonie,Leonie,female given name,1
"Ring, Lia",Lia,Lia,female given name,1
"Tarouco, Liane Margarida Rockenbach",Liane,Liane,female given name,1
"externe, Lien vers un site",Lien,Lien,female given name,1
"Canul-Noh, Ligia-Estefania",Ligia-Estefania,Ligia-Estefania,female given name,1
"Martínez-Granada, Liliana",Liliana,Liliana,female given name,1
"Kline, Linda Mannik",Linda,Linda,female given name,1
"Thompson, Linda",Linda,Linda,female given name,1
"DeRenard, Lisa A.",Lisa,Lisa,female given name,1
"Padol, Lisa",Lisa,Lisa,female given name,1
"Simão, Lívia Mathias",Lívia,Livia,female given name,2
"Zayas, Luis H.",Luis,Luís,male given name,1
"Falcão, Luiz",Luiz,,male given name,1
"Severino, Maico Roris",Maico,Maico,male given name,1
"Günther, Manuel",Manuel,Manuel,male given name,1
"Pérez, Manuel Hernández",Manuel,Manuel,male given name,1
"Sueiro, Manuel J.",Manuel,Manuel,male given name,1
"Punzalan, Maria Pamela",Maria,Maria,female given name,1
"Espinosa-Chueca, Maria-Jose",Maria-Jose,,female given name,1
"Ciancia, Mariana",Mariana,Mariana,female given name,1
"Melnykovych, Mariana",Mariana,Mariana,female given name,1
"Sawicki, Marianne",Marianne,Marianne,female given name,1
"Paulino, Marinela Y.",Marinela,Marinela,female given name,1
"Baker, Marissa",Marissa,Marissa,female given name,1
"Leite, Martha Dias da Cruz",Martha,Martha,female given name,1
"Willard, Mary Beth",Mary,Mary,female given name,1
"Cullinan, Maryanne",Maryanne,Maryanne,female given name,2
"Queen, Meara",Meara,Meara,female given name,1
"Condis, Megan",Megan,Megan,female given name,1
"Connell, Megan",Megan,Megan,female given name,1
"Glenhaber, Mehitabel",Mehitabel,Mehitabel,female given name,1
"Bourdaa, Mélanie",Mélanie,Melanie,female given name,1
"Brown, Melissa Shani",Melissa,Melissa,female given name,1
"McGonnell, Melissa",Melissa,Melissa,female given name,1
"Kabát, Michal",Michal,Michal,male given name,1
"Mahat-Shamir, Michal",Michal,Michal,male given name,1
"Mochocki, Michał",Michał,Michal,male given name,1
"Ronnick, Michele Valerie",Michele,Michèle,female given name,1
"Schmidt, Michelle",Michelle,Michelle,female given name,1
"Takeno'uchi, Miho",Miho,Miho,female given name,1
"Balzer, Myriel",Myriel,Myriel,female given name,1
"Custodio, Nerea",Nerea,Nerea,female given name,1
"Giallonardo, Nicole",Nicole,Nicole,female given name,1
"Roques, Noémie",Noémie,Noémie,female given name,1
"Lavenda, Osnat",Osnat,Osnat,female given name,1
"Martinolli, Pascal",Pascal,,male given name,2
"Sidhu, Premeet",Premeet,Premeet,female given name,2
"Worthington, Rachel Elizabeth",Rachel,Rachel,female given name,1
"Lippert, Randy",Randy,Randý,male given name,1
"Gitahy, Raquel Rosan Christino",Raquel,Raquel,female given name,1
"Borah, Rebecca",Rebecca,Rebecca,female given name,1
"Bryant, Rebecca",Rebecca,Rebecca,female given name,1
"Tushnet, Rebecca",Rebecca,Rebecca,female given name,1
"Herbrik, Regine",Regine,Regine,female given name,1
"Araujo, Renata Brasil",Renata,Renata,female given name,1
"Rezende, Rian",Rian,Rianne,unisex given name,2
"Igarashi, Ririka",Ririka,Ririka,female given name,1
"Meirelles, Rita",Rita,Rita,female given name,1
"Sassatelli, Roberta",Roberta,Róberta,female given name,1
"Araujo, Sabrina",Sabrina,Sabrina,female given name,1
"Eddy, Samantha",Samantha,Samantha,female given name,1
"King, Sara",Sara,Sára,female given name,1
"Bowman, Sarah Lynne",Sarah,Sarah,female given name,6
"Stang, Sarah",Sarah,Sarah,female given name,3
"Albom, Sarah",Sarah,Sarah,female given name,1
"Jones, Sarah",Sarah,Sarah,female given name,1
"García-Martín, Sheila",Sheila,Sheila,female given name,1
"Jones, Shelly",Shelly,Shelly,female given name,2
"Mursita Putri, Siegfrieda A.S.",Siegfrieda,,female given name,1
"Järvelä, Simo",Simo,Simona,female given name,1
"Cardoso, Stéphanie",Stéphanie,Stephanie,female given name,1
"Lestari, Sumi",Sumi,,female given name,1
"Weiner, Susan",Susan,Susan,female given name,1
"Tosca, Susana",Susana,Susana,female given name,1
"Abyeta, Suzanne",Suzanne,Suzanne,female given name,1
"Craipeau, Sylvie",Sylvie,Sylvie,female given name,1
"Sihvonen, Tanja",Tanja,Tanja,female given name,1
"Shulga, Tatiana",Tatiana,Tatiana,female given name,1
"Toles-Patkin, Terri",Terri,Terri,female given name,1
"Goldstein, Thalia R.",Thalia,Thalia,female given name,1
"Lykes, Valerie",Valerie,Valerie,female given name,1
"Casey, Vanessa",Vanessa,Vanessa,female given name,1
"Tovilla, Vania",Vania,Vania,female given name,2
"Hurtado, Veronica",Veronica,Veronica,female given name,1
"Grieve, Victoria L. B.",Victoria,Victoria,female given name,1
"Li, Wendy Wen",Wendy,Wendy,female given name,1
"Puff, Yvette R.",Yvette,,female given name,1
"Milspaw, Yvonne J.",Yvonne,Yvonne,female given name,1
"Trammell, Aaron",Aaron,Aaron,male given name,7
"Hollander, Aaron T.",Aaron,Aaron,male given name,1
"Greenwood-Ericksen, Adams",Adams,Adams,male given name,1
"Anupam, Aditya",Aditya,Aditya,male given name,2
"Hermann, Adrian",Adrian,Adrian,male given name,1
"Higuchi, Agnaldo Keiti",Agnaldo,,male given name,1
"Lazartigues, Alain",Alain,Alain,male given name,1
"Cheville, R. Alan",Alan,Alan,male given name,1
"Spencer, Albert R.",Albert,Albert,male given name,2
